,time,deployment_id,error_flag,batt_v,gw_1_id,dist_mm,f_cnt,gw_1_rssi_dbm,gw_1_snr_db,times,date
0,2023-03-22 16:14:03.599000+00:00,bored_blue_fish,0,4.158,floodnet-ltap-gw-553232201d003500,2941,125608,-104,-6.75,16:14:03.599000,2023-03-22
1,2023-03-22 16:23:40.170000+00:00,bored_blue_fish,0,4.16,fngw-10000,2941,125618,-111,-6.25,16:23:40.170000,2023-03-22
2,2023-03-22 16:44:41.710000+00:00,bored_blue_fish,0,4.16,fngw-10000,2941,125638,-110,-6.0,16:44:41.710000,2023-03-22
3,2023-03-22 16:58:19.946000+00:00,bored_blue_fish,0,4.16,fngw-10000,2938,125651,-101,-3.5,16:58:19.946000,2023-03-22
4,2023-03-22 17:06:44.158000+00:00,bored_blue_fish,0,4.14,fngw-10000,2937,125659,-108,-8.0,17:06:44.158000,2023-03-22
5,2023-03-22 17:41:22.128000+00:00,bored_blue_fish,0,4.16,fngw-10000,2938,125692,-109,-9.0,17:41:22.128000,2023-03-22
6,2023-03-22 17:43:28.401000+00:00,bored_blue_fish,0,4.16,floodnet-ltap-gw-553232201d003500,2936,125694,-110,-4.0,17:43:28.401000,2023-03-22
7,2023-03-22 17:50:49.934000+00:00,bored_blue_fish,0,4.136,floodnet-ltap-gw-553232201d003500,2932,125701,-108,-4.75,17:50:49.934000,2023-03-22
8,2023-03-22 18:01:18.962000+00:00,bored_blue_fish,0,4.16,floodnet-ltap-gw-553232201d003500,2929,125711,-107,-7.5,18:01:18.962000,2023-03-22
9,2023-03-22 18:03:25.051000+00:00,bored_blue_fish,0,4.16,fngw-10000,2933,125713,-110,-7.25,18:03:25.051000,2023-03-22
10,2023-03-22 18:13:55.259000+00:00,bored_blue_fish,0,4.16,fngw-10000,2936,125723,-109,-5.0,18:13:55.259000,2023-03-22
11,2023-03-22 18:23:22.438000+00:00,bored_blue_fish,0,4.134,fngw-10000,2929,125732,-108,-5.5,18:23:22.438000,2023-03-22
12,2023-03-22 18:35:59.098000+00:00,bored_blue_fish,0,4.16,fngw-10000,2927,125744,-108,-4.5,18:35:59.098000,2023-03-22
13,2023-03-22 18:47:31.706000+00:00,bored_blue_fish,0,4.138,fngw-10000,2931,125755,-108,-3.5,18:47:31.706000,2023-03-22
14,2023-03-22 18:56:58.602000+00:00,bored_blue_fish,0,4.158,fngw-10000,2932,125764,-111,-4.5,18:56:58.602000,2023-03-22
15,2023-03-22 20:16:42.056000+00:00,bored_blue_fish,0,4.156,floodnet-ltap-gw-553232201d003500,2924,125840,-104,-8.25,20:16:42.056000,2023-03-22
16,2023-03-22 20:45:03.914000+00:00,bored_blue_fish,0,4.142,fngw-10000,2930,125867,-108,-3.75,20:45:03.914000,2023-03-22
17,2023-03-22 21:09:11.034000+00:00,bored_blue_fish,0,4.148,fngw-10000,2923,125890,-103,-4.25,21:09:11.034000,2023-03-22
18,2023-03-22 21:17:35.146000+00:00,bored_blue_fish,0,4.146,fngw-10000,2922,125898,-110,-2.5,21:17:35.146000,2023-03-22
19,2023-03-22 21:19:41.103000+00:00,bored_blue_fish,0,4.146,floodnet-ltap-gw-553232201d003500,2928,125900,-102,-6.5,21:19:41.103000,2023-03-22
20,2023-03-22 21:51:11.625000+00:00,bored_blue_fish,0,4.144,fngw-10000,2924,125930,-110,-6.75,21:51:11.625000,2023-03-22
21,2023-03-22 22:35:17.518000+00:00,bored_blue_fish,0,4.118,fngw-10000,2921,125972,-108,-8.25,22:35:17.518000,2023-03-22
22,2023-03-22 22:42:38.588000+00:00,bored_blue_fish,0,4.114,fngw-10000,2923,125979,-109,-4.25,22:42:38.588000,2023-03-22
23,2023-03-22 22:59:26.586000+00:00,bored_blue_fish,0,4.108,fngw-10000,2921,125995,-109,-5.25,22:59:26.586000,2023-03-22
24,2023-03-22 23:02:35.266000+00:00,bored_blue_fish,0,4.106,eui-343632383e001c00,2922,125998,-111,-6.0,23:02:35.266000,2023-03-22
25,2023-03-22 23:14:09.427000+00:00,bored_blue_fish,0,4.1,eui-343632383e001c00,2922,126009,-115,-7.5,23:14:09.427000,2023-03-22
26,2023-03-22 23:21:31.407000+00:00,bored_blue_fish,0,4.098,fngw-10000,2921,126016,-96,-5.0,23:21:31.407000,2023-03-22
27,2023-03-23 00:14:03.360000+00:00,bored_blue_fish,0,4.078,fngw-10000,2920,126066,-110,-4.25,00:14:03.360000,2023-03-23
28,2023-03-23 00:16:09.211000+00:00,bored_blue_fish,0,4.078,floodnet-ltap-gw-553232201d003500,2922,126068,-109,-4.75,00:16:09.211000,2023-03-23
29,2023-03-23 00:23:29.946000+00:00,bored_blue_fish,0,4.076,fngw-10000,2921,126075,-108,-2.25,00:23:29.946000,2023-03-23
30,2023-03-23 00:35:01.030000+00:00,bored_blue_fish,0,4.072,floodnet-ltap-gw-553232201d003500,2920,126086,-105,-6.0,00:35:01.030000,2023-03-23
31,2023-03-23 00:40:15.259000+00:00,bored_blue_fish,0,4.07,fngw-10000,2920,126091,-111,-5.75,00:40:15.259000,2023-03-23
32,2023-03-23 01:00:12.815000+00:00,bored_blue_fish,0,4.062,floodnet-ltap-gw-553232201d003500,2921,126110,-109,-5.5,01:00:12.815000,2023-03-23
33,2023-03-23 01:23:20.495000+00:00,bored_blue_fish,0,4.056,fngw-10000,2920,126132,-107,-7.0,01:23:20.495000,2023-03-23
34,2023-03-23 01:33:49.865000+00:00,bored_blue_fish,0,4.052,fngw-10000,2921,126142,-105,-5.25,01:33:49.865000,2023-03-23
35,2023-03-23 01:46:25.958000+00:00,bored_blue_fish,0,4.048,fngw-10000,2921,126154,-122,-2.25,01:46:25.958000,2023-03-23
36,2023-03-23 01:59:00.853000+00:00,bored_blue_fish,0,4.044,fngw-10000,2921,126166,-109,-5.75,01:59:00.853000,2023-03-23
37,2023-03-23 02:31:35.376000+00:00,bored_blue_fish,0,4.034,fngw-10000,2921,126197,-109,-5.25,02:31:35.376000,2023-03-23
38,2023-03-23 02:45:15.120000+00:00,bored_blue_fish,0,4.03,floodnet-ltap-gw-553232201d003500,2919,126210,-104,-4.5,02:45:15.120000,2023-03-23
39,2023-03-23 03:14:38.820000+00:00,bored_blue_fish,0,4.02,floodnet-ltap-gw-553232201d003500,2921,126238,-105,-4.75,03:14:38.820000,2023-03-23
40,2023-03-23 03:33:32.461000+00:00,bored_blue_fish,0,4.014,fngw-10000,2921,126256,-110,-3.0,03:33:32.461000,2023-03-23
41,2023-03-23 04:04:00.777000+00:00,bored_blue_fish,0,4.004,fngw-10000,2921,126285,-107,-6.5,04:04:00.777000,2023-03-23
42,2023-03-23 04:06:06.590000+00:00,bored_blue_fish,0,4.004,fngw-10000,2921,126287,-111,-3.75,04:06:06.590000,2023-03-23
43,2023-03-23 04:22:56.179000+00:00,bored_blue_fish,0,3.998,floodnet-ltap-gw-553232201d003500,2921,126303,-103,-3.75,04:22:56.179000,2023-03-23
44,2023-03-23 04:23:59.511000+00:00,bored_blue_fish,0,3.998,fngw-10000,2920,126304,-105,-5.0,04:23:59.511000,2023-03-23
45,2023-03-23 05:01:46.066000+00:00,bored_blue_fish,0,3.986,fngw-10000,2922,126340,-110,-6.25,05:01:46.066000,2023-03-23
46,2023-03-23 05:16:28.309000+00:00,bored_blue_fish,0,3.982,fngw-10000,2921,126354,-110,-4.0,05:16:28.309000,2023-03-23
47,2023-03-23 05:51:08.645000+00:00,bored_blue_fish,0,3.972,floodnet-ltap-gw-553232201d003500,2920,126387,-103,-7.75,05:51:08.645000,2023-03-23
48,2023-03-23 06:32:06.656000+00:00,bored_blue_fish,0,3.958,floodnet-ltap-gw-553232201d003500,2923,126426,-104,-5.0,06:32:06.656000,2023-03-23
49,2023-03-23 06:34:12.823000+00:00,bored_blue_fish,0,3.958,fngw-10000,2923,126428,-107,-7.5,06:34:12.823000,2023-03-23
50,2023-03-23 06:43:38.542000+00:00,bored_blue_fish,0,3.954,fngw-10000,2922,126437,-110,-5.5,06:43:38.542000,2023-03-23
51,2023-03-23 06:44:41.306000+00:00,bored_blue_fish,0,3.954,floodnet-ltap-gw-553232201d003500,2922,126438,-110,-1.75,06:44:41.306000,2023-03-23
52,2023-03-23 06:58:22.693000+00:00,bored_blue_fish,0,3.95,fngw-10000,2922,126451,-108,-5.5,06:58:22.693000,2023-03-23
53,2023-03-23 07:03:37.135000+00:00,bored_blue_fish,0,3.948,floodnet-ltap-gw-553232201d003500,2922,126456,-104,-4.5,07:03:37.135000,2023-03-23
54,2023-03-23 07:26:50.656000+00:00,bored_blue_fish,0,3.942,fngw-10000,2921,126479,-108,-6.75,07:26:50.656000,2023-03-23
55,2023-03-23 07:34:12.241000+00:00,bored_blue_fish,0,3.94,floodnet-ltap-gw-553232201d003500,2921,126486,-107,-6.5,07:34:12.241000,2023-03-23
56,2023-03-23 07:46:49.742000+00:00,bored_blue_fish,0,3.936,fngw-10000,2922,126498,-109,-5.75,07:46:49.742000,2023-03-23
57,2023-03-23 08:02:33.742000+00:00,bored_blue_fish,0,3.93,floodnet-ltap-gw-553232201d003500,2920,126513,-104,-6.25,08:02:33.742000,2023-03-23
58,2023-03-23 08:03:36.618000+00:00,bored_blue_fish,0,3.93,floodnet-ltap-gw-553232201d003500,2922,126514,-109,-5.0,08:03:36.618000,2023-03-23
59,2023-03-23 08:20:27.226000+00:00,bored_blue_fish,0,3.926,floodnet-ltap-gw-553232201d003500,2923,126530,-106,-4.0,08:20:27.226000,2023-03-23
60,2023-03-23 08:32:00.166000+00:00,bored_blue_fish,0,3.922,fngw-10000,2921,126541,-110,-6.25,08:32:00.166000,2023-03-23
61,2023-03-23 08:33:02.662000+00:00,bored_blue_fish,0,3.922,floodnet-ltap-gw-553232201d003500,2923,126542,-109,-1.5,08:33:02.662000,2023-03-23
62,2023-03-23 08:35:08.824000+00:00,bored_blue_fish,0,3.92,floodnet-ltap-gw-553232201d003500,2922,126544,-104,-3.75,08:35:08.824000,2023-03-23
63,2023-03-23 09:02:33.760000+00:00,bored_blue_fish,0,3.912,floodnet-ltap-gw-553232201d003500,2921,126571,-103,-6.75,09:02:33.760000,2023-03-23
64,2023-03-23 09:04:39.653000+00:00,bored_blue_fish,0,3.912,fngw-10000,2922,126573,-111,-8.25,09:04:39.653000,2023-03-23
65,2023-03-23 09:15:09.741000+00:00,bored_blue_fish,0,3.908,fngw-10000,2921,126583,-105,-5.5,09:15:09.741000,2023-03-23
66,2023-03-23 09:17:15.966000+00:00,bored_blue_fish,0,3.908,floodnet-ltap-gw-553232201d003500,2922,126585,-104,-7.0,09:17:15.966000,2023-03-23
67,2023-03-23 09:18:18.705000+00:00,bored_blue_fish,0,3.908,floodnet-ltap-gw-553232201d003500,2921,126586,-99,-6.0,09:18:18.705000,2023-03-23
68,2023-03-23 09:33:01.155000+00:00,bored_blue_fish,0,3.902,floodnet-ltap-gw-553232201d003500,2921,126600,-104,-4.0,09:33:01.155000,2023-03-23
69,2023-03-23 09:38:16.589000+00:00,bored_blue_fish,0,3.902,floodnet-ltap-gw-553232201d003500,2922,126605,-103,-5.75,09:38:16.589000,2023-03-23
70,2023-03-23 09:40:22.866000+00:00,bored_blue_fish,0,3.9,fngw-10000,2922,126607,-111,-8.25,09:40:22.866000,2023-03-23
71,2023-03-23 09:51:56.939000+00:00,bored_blue_fish,0,3.896,fngw-10000,2921,126618,-109,-5.5,09:51:56.939000,2023-03-23
72,2023-03-23 09:55:06.159000+00:00,bored_blue_fish,0,3.896,fngw-10000,2920,126621,-110,-7.25,09:55:06.159000,2023-03-23
73,2023-03-23 09:58:15.335000+00:00,bored_blue_fish,0,3.894,floodnet-ltap-gw-553232201d003500,2921,126624,-101,-6.5,09:58:15.335000,2023-03-23
74,2023-03-23 10:07:44.055000+00:00,bored_blue_fish,0,3.892,floodnet-ltap-gw-553232201d003500,2920,126633,-107,-5.75,10:07:44.055000,2023-03-23
75,2023-03-23 10:08:46.604000+00:00,bored_blue_fish,0,3.892,floodnet-ltap-gw-553232201d003500,2921,126634,-105,-3.0,10:08:46.604000,2023-03-23
76,2023-03-23 10:32:55.430000+00:00,bored_blue_fish,0,3.886,fngw-10000,2919,126657,-109,-3.75,10:32:55.430000,2023-03-23
