,time,deployment_id,error_flag,batt_v,gw_1_id,dist_mm,f_cnt,gw_1_rssi_dbm,gw_1_snr_db,gw_2_id,gw_2_rssi_dbm,gw_2_snr_db,gw_3_id,gw_3_rssi_dbm,gw_3_snr_db,times,date
0,2023-04-08 12:00:34.460000+00:00,bored_blue_fish,0,3.756,floodnet-ltap-gw-553232201d003500,2927,148741,-101,-6.5,,,,,,,12:00:34.460000,2023-04-08
1,2023-04-08 12:08:03.218000+00:00,bored_blue_fish,0,3.806,floodnet-ltap-gw-553232201d003500,2926,148749,-101,-6.0,,,,,,,12:08:03.218000,2023-04-08
2,2023-04-08 12:22:45.589000+00:00,bored_blue_fish,0,3.85,fngw-10000,2929,148763,-109,-5.0,,,,,,,12:22:45.589000,2023-04-08
3,2023-04-08 12:26:57.097000+00:00,bored_blue_fish,0,3.872,fngw-10000,2931,148767,-105,-5.25,,,,,,,12:26:57.097000,2023-04-08
4,2023-04-08 12:46:55.746000+00:00,bored_blue_fish,0,3.902,eui-343632383e001c00,2936,148786,-113,-6.0,,,,,,,12:46:55.746000,2023-04-08
5,2023-04-08 12:51:07.703000+00:00,bored_blue_fish,0,3.91,fngw-10000,2938,148790,-105,-8.5,,,,,,,12:51:07.703000,2023-04-08
6,2023-04-08 13:28:58.055000+00:00,bored_blue_fish,0,4.04,eui-343632383e001c00,2938,148826,-113,-5.5,,,,,,,13:28:58.055000,2023-04-08
7,2023-04-08 13:52:01.642000+00:00,bored_blue_fish,0,4.128,eui-343632383e001c00,2936,148848,-113,-6.75,,,,,,,13:52:01.642000,2023-04-08
8,2023-04-08 14:03:33.965000+00:00,bored_blue_fish,0,4.146,fngw-10000,2941,148859,-108,-6.0,,,,,,,14:03:33.965000,2023-04-08
9,2023-04-08 14:06:42.884000+00:00,bored_blue_fish,0,4.15,fngw-10000,2946,148862,-109,-6.0,,,,,,,14:06:42.884000,2023-04-08
10,2023-04-08 14:39:15.445000+00:00,bored_blue_fish,0,4.158,floodnet-ltap-gw-553232201d003500,2940,148893,-102,-5.75,,,,,,,14:39:15.445000,2023-04-08
11,2023-04-08 14:51:51.066000+00:00,bored_blue_fish,0,4.158,eui-343632383e001c00,2942,148905,-111,-6.25,,,,,,,14:51:51.066000,2023-04-08
12,2023-04-08 14:58:08.197000+00:00,bored_blue_fish,0,4.158,fngw-10000,2938,148911,-110,-4.5,,,,,,,14:58:08.197000,2023-04-08
13,2023-04-08 15:02:19.708000+00:00,bored_blue_fish,0,4.158,floodnet-ltap-gw-553232201d003500,2940,148915,-104,-6.25,,,,,,,15:02:19.708000,2023-04-08
14,2023-04-08 15:04:25.273000+00:00,bored_blue_fish,0,4.16,fngw-10000,2948,148917,-110,-4.5,,,,,,,15:04:25.273000,2023-04-08
15,2023-04-08 15:17:00.584000+00:00,bored_blue_fish,0,4.16,floodnet-ltap-gw-553232201d003500,2938,148929,-105,-6.0,,,,,,,15:17:00.584000,2023-04-08
16,2023-04-08 15:30:39.424000+00:00,bored_blue_fish,0,4.162,floodnet-ltap-gw-553232201d003500,2938,148942,-107,-6.0,,,,,,,15:30:39.424000,2023-04-08
17,2023-04-08 15:32:45.144000+00:00,bored_blue_fish,0,4.16,fngw-10000,2941,148944,-111,-6.75,,,,,,,15:32:45.144000,2023-04-08
18,2023-04-08 15:34:51.244000+00:00,bored_blue_fish,0,4.16,floodnet-ltap-gw-553232201d003500,2944,148946,-105,-6.0,,,,,,,15:34:51.244000,2023-04-08
19,2023-04-08 15:39:10.999000+00:00,bored_blue_fish,0,4.16,fngw-10000,2943,148951,-110,-6.5,,,,,,,15:39:10.999000,2023-04-08
20,2023-04-08 15:52:49.676000+00:00,bored_blue_fish,0,4.16,fngw-10000,2942,148964,-109,-7.0,,,,,,,15:52:49.676000,2023-04-08
21,2023-04-08 16:07:30.722000+00:00,bored_blue_fish,0,4.16,fngw-10000,2940,148978,-109,-4.75,,,,,,,16:07:30.722000,2023-04-08
22,2023-04-08 16:18:00.914000+00:00,bored_blue_fish,0,4.16,eui-343632383e001c00,2953,148988,-113,-6.0,,,,,,,16:18:00.914000,2023-04-08
23,2023-04-08 16:21:10.112000+00:00,bored_blue_fish,0,4.16,eui-343632383e001c00,2946,148991,-110,-8.5,,,,,,,16:21:10.112000,2023-04-08
24,2023-04-08 16:35:51.892000+00:00,bored_blue_fish,0,4.16,fngw-10000,2952,149005,-109,-5.25,,,,,,,16:35:51.892000,2023-04-08
25,2023-04-08 17:06:18.833000+00:00,bored_blue_fish,0,4.134,fngw-10000,2943,149034,-107,-7.75,,,,,,,17:06:18.833000,2023-04-08
26,2023-04-08 17:15:46.190000+00:00,bored_blue_fish,0,4.16,eui-343632383e001c00,2950,149043,-110,-6.25,,,,,,,17:15:46.190000,2023-04-08
27,2023-04-08 17:26:14.707000+00:00,bored_blue_fish,0,4.16,fngw-10000,2959,149053,-109,-8.0,,,,,,,17:26:14.707000,2023-04-08
28,2023-04-08 17:29:24.190000+00:00,bored_blue_fish,0,4.134,floodnet-ltap-gw-553232201d003500,2952,149056,-105,-8.75,,,,,,,17:29:24.190000,2023-04-08
29,2023-04-08 17:34:39.320000+00:00,bored_blue_fish,0,4.16,fngw-10000,2945,149061,-109,-7.75,,,,,,,17:34:39.320000,2023-04-08
30,2023-04-08 17:53:32.875000+00:00,bored_blue_fish,0,4.16,fngw-10000,2947,149079,-104,-5.0,,,,,,,17:53:32.875000,2023-04-08
31,2023-04-08 17:54:36.193000+00:00,bored_blue_fish,0,4.136,fngw-10000,2943,149080,-109,-7.5,,,,,,,17:54:36.193000,2023-04-08
32,2023-04-08 17:55:39.092000+00:00,bored_blue_fish,0,4.136,eui-343632383e001c00,2952,149081,-113,-5.75,,,,,,,17:55:39.092000,2023-04-08
33,2023-04-08 18:23:59.840000+00:00,bored_blue_fish,0,4.16,floodnet-ltap-gw-553232201d003500,2942,149108,-103,-4.5,,,,,,,18:23:59.840000,2023-04-08
34,2023-04-08 18:32:30.864000+00:00,bored_blue_fish,0,4.16,floodnet-ltap-gw-553232201d003500,2942,149117,-104,-6.75,,,,,,,18:32:30.864000,2023-04-08
35,2023-04-08 19:47:09.323000+00:00,bored_blue_fish,0,4.134,floodnet-ltap-gw-553232201d003500,2929,149189,-103,-4.75,,,,,,,19:47:09.323000,2023-04-08
36,2023-04-08 20:08:09.339000+00:00,bored_blue_fish,0,4.158,floodnet-ltap-gw-553232201d003500,2940,149209,-107,-4.0,eui-343632383e001c00,-111.0,-7.25,,,,20:08:09.339000,2023-04-08
37,2023-04-08 20:31:14.405000+00:00,bored_blue_fish,0,4.136,eui-343632383e001c00,2933,149231,-113,-6.25,,,,,,,20:31:14.405000,2023-04-08
38,2023-04-08 20:55:24.020000+00:00,bored_blue_fish,0,4.134,eui-343632383e001c00,2930,149254,-115,-7.0,,,,,,,20:55:24.020000,2023-04-08
39,2023-04-08 21:13:16.867000+00:00,bored_blue_fish,0,4.136,eui-343632383e001c00,2928,149271,-116,-5.25,,,,,,,21:13:16.867000,2023-04-08
40,2023-04-08 21:25:53.249000+00:00,bored_blue_fish,0,4.146,eui-343632383e001c00,2928,149283,-115,-7.5,,,,,,,21:25:53.249000,2023-04-08
41,2023-04-08 21:31:08.740000+00:00,bored_blue_fish,0,4.146,eui-343632383e001c00,2927,149288,-111,-5.75,,,,,,,21:31:08.740000,2023-04-08
42,2023-04-08 21:33:14.775000+00:00,bored_blue_fish,0,4.146,floodnet-ltap-gw-553232201d003500,2927,149290,-105,-5.75,,,,,,,21:33:14.775000,2023-04-08
43,2023-04-08 21:51:03.380000+00:00,bored_blue_fish,0,4.14,floodnet-ltap-gw-553232201d003500,2929,149307,-102,-8.5,,,,,,,21:51:03.380000,2023-04-08
44,2023-04-08 21:53:09.225000+00:00,bored_blue_fish,0,4.14,fngw-10000,2929,149309,-109,-7.25,,,,,,,21:53:09.225000,2023-04-08
45,2023-04-08 22:12:03.735000+00:00,bored_blue_fish,0,4.134,fngw-10000,2926,149327,-110,-5.25,,,,,,,22:12:03.735000,2023-04-08
46,2023-04-08 22:19:24.597000+00:00,bored_blue_fish,0,4.13,eui-343632383e001c00,2925,149334,-111,-6.25,,,,,,,22:19:24.597000,2023-04-08
47,2023-04-08 22:26:46.111000+00:00,bored_blue_fish,0,4.126,fngw-10000,2926,149341,-109,-6.25,,,,,,,22:26:46.111000,2023-04-08
48,2023-04-08 22:44:35.691000+00:00,bored_blue_fish,0,4.116,eui-343632383e001c00,2926,149358,-115,-5.5,,,,,,,22:44:35.691000,2023-04-08
49,2023-04-08 23:00:19.904000+00:00,bored_blue_fish,0,4.106,fngw-10000,2924,149373,-109,-5.5,,,,,,,23:00:19.904000,2023-04-08
50,2023-04-08 23:07:41.141000+00:00,bored_blue_fish,0,4.104,eui-343632383e001c00,2924,149380,-113,-6.25,,,,,,,23:07:41.141000,2023-04-08
51,2023-04-08 23:25:33.396000+00:00,bored_blue_fish,0,4.094,fngw-10000,2923,149397,-104,-4.25,,,,,,,23:25:33.396000,2023-04-08
52,2023-04-08 23:33:56.907000+00:00,bored_blue_fish,0,4.092,fngw-10000,2922,149405,-111,-2.75,,,,,,,23:33:56.907000,2023-04-08
53,2023-04-09 00:40:02.077000+00:00,bored_blue_fish,0,4.068,eui-343632383e001c00,2922,149468,-113,-6.25,,,,,,,00:40:02.077000,2023-04-09
54,2023-04-09 01:03:09.699000+00:00,bored_blue_fish,0,4.06,eui-343632383e001c00,2922,149490,-113,-5.5,,,,,,,01:03:09.699000,2023-04-09
55,2023-04-09 01:04:12.471000+00:00,bored_blue_fish,0,4.06,fngw-10000,2922,149491,-110,-4.75,,,,,,,01:04:12.471000,2023-04-09
56,2023-04-09 01:09:28.444000+00:00,bored_blue_fish,0,4.058,floodnet-ltap-gw-553232201d003500,2923,149496,-105,-5.75,,,,,,,01:09:28.444000,2023-04-09
57,2023-04-09 01:18:55.374000+00:00,bored_blue_fish,0,4.056,eui-343632383e001c00,2921,149505,-114,-5.75,,,,,,,01:18:55.374000,2023-04-09
58,2023-04-09 01:51:28.399000+00:00,bored_blue_fish,0,4.044,eui-343632383e001c00,2924,149536,-114,-7.5,,,,,,,01:51:28.399000,2023-04-09
