,time,deployment_id,error_flag,batt_v,gw_1_id,dist_mm,f_cnt,gw_1_rssi_dbm,gw_1_snr_db,gw_2_id,gw_2_rssi_dbm,gw_2_snr_db,gw_3_id,gw_3_rssi_dbm,gw_3_snr_db,times,date
0,2023-04-08 11:58:11.119000+00:00,openly_driven_tarpon,0,4.118,mikrotik-003300,2797.0,228744.0,-111.0,-3.0,,,,,,,11:58:11.119000,2023-04-08
1,2023-04-08 12:02:22.750000+00:00,openly_driven_tarpon,0,4.12,mikrotik-003300,2795.0,228748.0,-110.0,-4.25,,,,,,,12:02:22.750000,2023-04-08
2,2023-04-08 12:11:49.509000+00:00,openly_driven_tarpon,0,4.122,mikrotik-003300,2796.0,228757.0,-115.0,-5.75,,,,,,,12:11:49.509000,2023-04-08
3,2023-04-08 12:12:52.102000+00:00,openly_driven_tarpon,0,4.124,mikrotik-003300,2797.0,228758.0,-110.0,-3.75,,,,,,,12:12:52.102000,2023-04-08
4,2023-04-08 12:13:55.485000+00:00,openly_driven_tarpon,0,4.124,mikrotik-003300,2797.0,228759.0,-112.0,-3.75,,,,,,,12:13:55.485000,2023-04-08
5,2023-04-08 12:18:07.105000+00:00,openly_driven_tarpon,0,4.124,mikrotik-003300,2798.0,228763.0,-117.0,-0.5,,,,,,,12:18:07.105000,2023-04-08
6,2023-04-08 12:20:12.738000+00:00,openly_driven_tarpon,0,4.124,mikrotik-003300,2798.0,228765.0,-109.0,-2.5,,,,,,,12:20:12.738000,2023-04-08
7,2023-04-08 12:26:31.236000+00:00,openly_driven_tarpon,0,4.126,mikrotik-003300,2793.0,228771.0,-110.0,-6.0,,,,,,,12:26:31.236000,2023-04-08
8,2023-04-08 12:33:52.777000+00:00,openly_driven_tarpon,0,4.126,mikrotik-003300,2798.0,228778.0,-112.0,-7.5,,,,,,,12:33:52.777000,2023-04-08
9,2023-04-08 12:48:36.553000+00:00,openly_driven_tarpon,0,4.13,mikrotik-003300,2798.0,228792.0,-113.0,-2.5,,,,,,,12:48:36.553000,2023-04-08
10,2023-04-08 12:50:42.668000+00:00,openly_driven_tarpon,0,4.128,mikrotik-003300,2799.0,228794.0,-110.0,-4.75,,,,,,,12:50:42.668000,2023-04-08
11,2023-04-08 12:51:46.125000+00:00,openly_driven_tarpon,0,4.13,mikrotik-003300,2798.0,228795.0,-111.0,-1.25,,,,,,,12:51:46.125000,2023-04-08
12,2023-04-08 12:52:48.719000+00:00,openly_driven_tarpon,0,4.13,mikrotik-003300,2798.0,228796.0,-111.0,-5.5,,,,,,,12:52:48.719000,2023-04-08
13,2023-04-08 13:01:14.205000+00:00,openly_driven_tarpon,0,4.126,mikrotik-003300,2800.0,228804.0,-115.0,-4.0,,,,,,,13:01:14.205000,2023-04-08
14,2023-04-08 13:02:16.815000+00:00,openly_driven_tarpon,0,4.126,mikrotik-003300,2796.0,228805.0,-110.0,-4.25,,,,,,,13:02:16.815000,2023-04-08
15,2023-04-08 13:06:28.670000+00:00,openly_driven_tarpon,0,4.126,mikrotik-003300,2801.0,228809.0,-110.0,-6.25,,,,,,,13:06:28.670000,2023-04-08
16,2023-04-08 13:12:46.106000+00:00,openly_driven_tarpon,0,4.126,mikrotik-003300,2799.0,228815.0,-111.0,-5.0,,,,,,,13:12:46.106000,2023-04-08
17,2023-04-08 13:14:51.969000+00:00,openly_driven_tarpon,0,4.132,mikrotik-003300,2804.0,228817.0,-111.0,-5.25,,,,,,,13:14:51.969000,2023-04-08
18,2023-04-08 13:16:57.790000+00:00,openly_driven_tarpon,0,4.128,mikrotik-003300,2803.0,228819.0,-110.0,-7.75,,,,,,,13:16:57.790000,2023-04-08
19,2023-04-08 13:23:15.604000+00:00,openly_driven_tarpon,0,4.154,mikrotik-003300,2803.0,228825.0,-109.0,-7.25,,,,,,,13:23:15.604000,2023-04-08
20,2023-04-08 13:33:44.859000+00:00,openly_driven_tarpon,0,4.166,mikrotik-003300,2810.0,228835.0,-110.0,-6.75,,,,,,,13:33:44.859000,2023-04-08
21,2023-04-08 13:34:48.181000+00:00,openly_driven_tarpon,0,4.166,mikrotik-003300,2805.0,228836.0,-109.0,-6.0,,,,,,,13:34:48.181000,2023-04-08
22,2023-04-08 13:35:50.700000+00:00,openly_driven_tarpon,0,4.166,mikrotik-003300,2811.0,228837.0,-111.0,-6.75,,,,,,,13:35:50.700000,2023-04-08
23,2023-04-08 13:39:00.407000+00:00,openly_driven_tarpon,0,4.17,mikrotik-003300,2805.0,228840.0,-110.0,-4.0,,,,,,,13:39:00.407000,2023-04-08
