,time,deployment_id,error_flag,batt_v,gw_1_id,dist_mm,f_cnt,gw_1_rssi_dbm,gw_1_snr_db,times,date
0,2023-05-29 12:48:52.343000+00:00,bored_blue_fish,0,4.048,fngw-10000,2941,218762,-109,-7.75,12:48:52.343000,2023-05-29
1,2023-05-29 13:21:26.702000+00:00,bored_blue_fish,0,4.148,fngw-10000,2937,218793,-110,-6.75,13:21:26.702000,2023-05-29
2,2023-05-29 14:22:19.308000+00:00,bored_blue_fish,0,4.154,floodnet-ltap-gw-553232201d003500,2945,218851,-107,-5.25,14:22:19.308000,2023-05-29
3,2023-05-29 14:43:19.442000+00:00,bored_blue_fish,0,4.154,eui-343632383e001c00,2945,218871,-116,-6.5,14:43:19.442000,2023-05-29
4,2023-05-29 14:51:43.647000+00:00,bored_blue_fish,0,4.156,fngw-10000,2937,218879,-106,-8.75,14:51:43.647000,2023-05-29
5,2023-05-29 14:56:58.728000+00:00,bored_blue_fish,0,4.136,fngw-10000,2940,218884,-111,-5.75,14:56:58.728000,2023-05-29
6,2023-05-29 15:16:58.167000+00:00,bored_blue_fish,0,4.138,floodnet-ltap-gw-553232201d003500,2934,218903,-110,-6.0,15:16:58.167000,2023-05-29
7,2023-05-29 15:21:09.313000+00:00,bored_blue_fish,0,4.134,eui-343632383e001c00,2936,218907,-117,-7.0,15:21:09.313000,2023-05-29
8,2023-05-29 16:00:59.484000+00:00,bored_blue_fish,0,4.156,floodnet-ltap-gw-553232201d003500,2939,218945,-108,-4.5,16:00:59.484000,2023-05-29
9,2023-05-29 16:02:02.767000+00:00,bored_blue_fish,0,4.138,fngw-10000,2935,218946,-111,-6.25,16:02:02.767000,2023-05-29
10,2023-05-29 16:14:39.128000+00:00,bored_blue_fish,0,4.156,eui-343632383e001c00,2934,218958,-109,-6.0,16:14:39.128000,2023-05-29
11,2023-05-29 17:05:02.040000+00:00,bored_blue_fish,0,4.156,eui-343632383e001c00,2935,219006,-115,-5.5,17:05:02.040000,2023-05-29
12,2023-05-29 17:14:28.142000+00:00,bored_blue_fish,0,4.156,eui-343632383e001c00,2932,219015,-115,-3.25,17:14:28.142000,2023-05-29
13,2023-05-29 17:31:16.400000+00:00,bored_blue_fish,0,4.156,eui-343632383e001c00,2941,219031,-113,-7.0,17:31:16.400000,2023-05-29
14,2023-05-29 17:37:34.646000+00:00,bored_blue_fish,0,4.156,fngw-10000,2932,219037,-110,-3.75,17:37:34.646000,2023-05-29
15,2023-05-29 19:12:03.518000+00:00,bored_blue_fish,0,4.156,fngw-10000,2932,219127,-109,-7.25,19:12:03.518000,2023-05-29
16,2023-05-29 21:11:46.265000+00:00,bored_blue_fish,0,4.144,fngw-10000,2933,219241,-103,-6.5,21:11:46.265000,2023-05-29
17,2023-05-29 21:13:52.230000+00:00,bored_blue_fish,0,4.142,fngw-10000,2931,219243,-111,-6.75,21:13:52.230000,2023-05-29
18,2023-05-29 22:31:29.609000+00:00,bored_blue_fish,0,4.116,floodnet-ltap-gw-553232201d003500,2926,219317,-108,-5.0,22:31:29.609000,2023-05-29
19,2023-05-29 22:41:59.661000+00:00,bored_blue_fish,0,4.112,fngw-10000,2926,219327,-113,-5.75,22:41:59.661000,2023-05-29
20,2023-05-30 00:09:11.867000+00:00,bored_blue_fish,0,4.076,floodnet-ltap-gw-553232201d003500,2924,219410,-102,-7.0,00:09:11.867000,2023-05-30
21,2023-05-30 01:56:17.444000+00:00,bored_blue_fish,0,4.036,fngw-10000,2923,219512,-110,-7.75,01:56:17.444000,2023-05-30
22,2023-05-30 02:16:13.680000+00:00,bored_blue_fish,0,4.028,fngw-10000,2921,219531,-111,-4.0,02:16:13.680000,2023-05-30
23,2023-05-30 03:00:20.264000+00:00,bored_blue_fish,0,4.012,floodnet-ltap-gw-553232201d003500,2923,219573,-109,-4.5,03:00:20.264000,2023-05-30
24,2023-05-30 03:39:10.742000+00:00,bored_blue_fish,0,4.0,fngw-10000,2921,219610,-108,-8.0,03:39:10.742000,2023-05-30
