,time,deployment_id,error_flag,batt_v,gw_1_id,dist_mm,f_cnt,gw_1_rssi_dbm,gw_1_snr_db,times,date
0,2023-05-28 14:58:00.326000+00:00,future_aqua_wildcat,0,4.14,fngw-10003,2268,424729,-101,-7.25,14:58:00.326000,2023-05-28
1,2023-05-28 15:00:05.897000+00:00,future_aqua_wildcat,0,4.14,fngw-10003,5000,424731,-103,-4.75,15:00:05.897000,2023-05-28
2,2023-05-28 15:02:12.502000+00:00,future_aqua_wildcat,0,4.14,fngw-10003,2271,424733,-107,-8.0,15:02:12.502000,2023-05-28
3,2023-05-28 15:04:18.696000+00:00,future_aqua_wildcat,0,4.138,fngw-10003,2272,424735,-102,-8.0,15:04:18.696000,2023-05-28
4,2023-05-28 15:10:36.070000+00:00,future_aqua_wildcat,0,4.138,fngw-10003,2263,424741,-105,-7.75,15:10:36.070000,2023-05-28
5,2023-05-28 15:15:51.488000+00:00,future_aqua_wildcat,0,4.138,fngw-10003,2267,424746,-103,-6.75,15:15:51.488000,2023-05-28
6,2023-05-28 15:21:07.248000+00:00,future_aqua_wildcat,0,4.138,fngw-10003,2264,424751,-105,-4.75,15:21:07.248000,2023-05-28
7,2023-05-28 15:25:18.201000+00:00,future_aqua_wildcat,0,4.136,fngw-10003,2261,424755,-105,-5.75,15:25:18.201000,2023-05-28
8,2023-05-28 15:31:36.796000+00:00,future_aqua_wildcat,0,4.138,fngw-10003,2246,424761,-107,-7.0,15:31:36.796000,2023-05-28
9,2023-05-28 15:36:50.827000+00:00,future_aqua_wildcat,0,4.136,fngw-10003,2257,424766,-99,-3.5,15:36:50.827000,2023-05-28
10,2023-05-28 15:46:17.393000+00:00,future_aqua_wildcat,0,4.136,fngw-10003,2266,424775,-101,-7.75,15:46:17.393000,2023-05-28
11,2023-05-28 16:02:02.161000+00:00,future_aqua_wildcat,0,4.136,fngw-10003,2360,424790,-105,-6.5,16:02:02.161000,2023-05-28
