,time,deployment_id,error_flag,batt_v,gw_1_id,dist_mm,f_cnt,gw_1_rssi_dbm,gw_1_snr_db,times,date
0,2023-05-28 15:00:58.797000+00:00,mainly_whole_slug,0,4.08,irt-mudd-rooftop-gateway,2734,403988,-114,-11.0,15:00:58.797000,2023-05-28
1,2023-05-28 15:01:54.724000+00:00,mainly_whole_slug,0,4.08,irt-mudd-rooftop-gateway,2737,403989,-109,-11.8,15:01:54.724000,2023-05-28
2,2023-05-28 15:09:29.742000+00:00,mainly_whole_slug,0,4.078,irt-mudd-rooftop-gateway,2732,403996,-115,-8.2,15:09:29.742000,2023-05-28
3,2023-05-28 15:10:33.104000+00:00,mainly_whole_slug,0,4.078,irt-mudd-rooftop-gateway,2733,403997,-115,-12.5,15:10:33.104000,2023-05-28
4,2023-05-28 15:13:27.350000+00:00,mainly_whole_slug,0,4.078,irt-mudd-rooftop-gateway,2732,404000,-115,-11.0,15:13:27.350000,2023-05-28
5,2023-05-28 15:14:30.110000+00:00,mainly_whole_slug,0,4.078,irt-mudd-rooftop-gateway,2727,404001,-107,-14.5,15:14:30.110000,2023-05-28
6,2023-05-28 15:17:46.740000+00:00,mainly_whole_slug,0,4.078,irt-mudd-rooftop-gateway,2738,404004,-115,-10.5,15:17:46.740000,2023-05-28
7,2023-05-28 15:18:56.392000+00:00,mainly_whole_slug,0,4.078,irt-mudd-rooftop-gateway,2734,404005,-115,-8.0,15:18:56.392000,2023-05-28
8,2023-05-28 15:22:04.872000+00:00,mainly_whole_slug,0,4.076,irt-mudd-rooftop-gateway,2734,404008,-115,-8.8,15:22:04.872000,2023-05-28
9,2023-05-28 15:24:03.483000+00:00,mainly_whole_slug,0,4.076,irt-mudd-rooftop-gateway,2735,404010,-117,-10.5,15:24:03.483000,2023-05-28
10,2023-05-28 15:26:02.568000+00:00,mainly_whole_slug,0,4.076,irt-mudd-rooftop-gateway,2733,404012,-115,-10.8,15:26:02.568000,2023-05-28
11,2023-05-28 15:29:24.653000+00:00,mainly_whole_slug,0,4.076,irt-mudd-rooftop-gateway,2731,404015,-117,-12.0,15:29:24.653000,2023-05-28
12,2023-05-28 15:30:20.046000+00:00,mainly_whole_slug,0,4.076,irt-mudd-rooftop-gateway,2733,404016,-110,-9.2,15:30:20.046000,2023-05-28
13,2023-05-28 15:36:45.641000+00:00,mainly_whole_slug,0,4.074,irt-mudd-rooftop-gateway,2738,404022,-115,-12.8,15:36:45.641000,2023-05-28
14,2023-05-28 15:39:40.049000+00:00,mainly_whole_slug,0,4.074,irt-mudd-rooftop-gateway,2734,404025,-111,-6.2,15:39:40.049000,2023-05-28
15,2023-05-28 15:55:24.100000+00:00,mainly_whole_slug,0,4.072,irt-mudd-rooftop-gateway,2727,404040,-117,-9.5,15:55:24.100000,2023-05-28
16,2023-05-28 16:00:45.558000+00:00,mainly_whole_slug,0,4.072,irt-mudd-rooftop-gateway,2733,404045,-115,-11.5,16:00:45.558000,2023-05-28
17,2023-05-28 16:01:07.973000+00:00,mainly_whole_slug,0,4.07,irt-mudd-rooftop-gateway,2731,404046,-111,-13.2,16:01:07.973000,2023-05-28
18,2023-05-28 16:05:19.343000+00:00,mainly_whole_slug,0,4.07,irt-mudd-rooftop-gateway,2737,404050,-115,-13.0,16:05:19.343000,2023-05-28
19,2023-05-28 16:08:21.158000+00:00,mainly_whole_slug,0,4.07,irt-mudd-rooftop-gateway,2734,404053,-111,-12.5,16:08:21.158000,2023-05-28
20,2023-05-28 16:12:24.774000+00:00,mainly_whole_slug,0,4.07,irt-mudd-rooftop-gateway,2733,404057,-117,-11.2,16:12:24.774000,2023-05-28
21,2023-05-28 16:22:05.489000+00:00,mainly_whole_slug,0,4.068,irt-mudd-rooftop-gateway,2725,404066,-120,-9.2,16:22:05.489000,2023-05-28
22,2023-05-28 16:27:05.615000+00:00,mainly_whole_slug,0,4.068,irt-mudd-rooftop-gateway,2731,404071,-117,-12.5,16:27:05.615000,2023-05-28
23,2023-05-28 16:35:37.938000+00:00,mainly_whole_slug,0,4.066,irt-mudd-rooftop-gateway,2732,404079,-123,-10.8,16:35:37.938000,2023-05-28
24,2023-05-28 16:45:05.330000+00:00,mainly_whole_slug,0,4.064,irt-mudd-rooftop-gateway,2727,404088,-119,-10.5,16:45:05.330000,2023-05-28
25,2023-05-28 16:49:09.457000+00:00,mainly_whole_slug,0,4.064,irt-mudd-rooftop-gateway,2726,404092,-113,-9.8,16:49:09.457000,2023-05-28
26,2023-05-28 16:54:39.034000+00:00,mainly_whole_slug,0,4.064,irt-mudd-rooftop-gateway,2731,404097,-119,-13.2,16:54:39.034000,2023-05-28
27,2023-05-28 16:56:44.707000+00:00,mainly_whole_slug,0,4.064,irt-mudd-rooftop-gateway,2735,404099,-117,-10.8,16:56:44.707000,2023-05-28
28,2023-05-28 16:58:50.424000+00:00,mainly_whole_slug,0,4.062,irt-mudd-rooftop-gateway,2721,404101,-115,-9.2,16:58:50.424000,2023-05-28
29,2023-05-28 17:02:48.270000+00:00,mainly_whole_slug,0,4.062,irt-mudd-rooftop-gateway,2722,404105,-121,-12.5,17:02:48.270000,2023-05-28
30,2023-05-28 17:05:08.439000+00:00,mainly_whole_slug,0,4.062,irt-mudd-rooftop-gateway,2721,404107,-112,-7.2,17:05:08.439000,2023-05-28
31,2023-05-28 17:13:33.300000+00:00,mainly_whole_slug,0,4.064,irt-mudd-rooftop-gateway,2724,404115,-113,-11.5,17:13:33.300000,2023-05-28
32,2023-05-28 17:14:29.092000+00:00,mainly_whole_slug,0,4.064,irt-mudd-rooftop-gateway,2724,404116,-114,-11.5,17:14:29.092000,2023-05-28
33,2023-05-28 17:17:30.991000+00:00,mainly_whole_slug,0,4.064,irt-mudd-rooftop-gateway,2728,404119,-113,-13.0,17:17:30.991000,2023-05-28
34,2023-05-28 17:28:15.390000+00:00,mainly_whole_slug,0,4.066,irt-mudd-rooftop-gateway,2724,404129,-108,-14.2,17:28:15.390000,2023-05-28
35,2023-05-28 17:30:15.152000+00:00,mainly_whole_slug,0,4.066,irt-mudd-rooftop-gateway,2720,404131,-112,-11.2,17:30:15.152000,2023-05-28
36,2023-05-28 17:38:38.675000+00:00,mainly_whole_slug,0,4.066,irt-mudd-rooftop-gateway,2722,404139,-105,-9.2,17:38:38.675000,2023-05-28
37,2023-05-28 17:40:38.106000+00:00,mainly_whole_slug,0,4.066,irt-mudd-rooftop-gateway,2723,404141,-107,-9.0,17:40:38.106000,2023-05-28
38,2023-05-28 17:43:53.104000+00:00,mainly_whole_slug,0,4.066,irt-mudd-rooftop-gateway,2720,404144,-108,-11.8,17:43:53.104000,2023-05-28
39,2023-05-28 17:45:59.052000+00:00,mainly_whole_slug,0,4.066,irt-mudd-rooftop-gateway,2714,404146,-112,-10.8,17:45:59.052000,2023-05-28
40,2023-05-28 17:46:54.735000+00:00,mainly_whole_slug,0,4.066,irt-mudd-rooftop-gateway,2716,404147,-113,-15.2,17:46:54.735000,2023-05-28
41,2023-05-28 17:52:16.982000+00:00,mainly_whole_slug,0,4.066,irt-mudd-rooftop-gateway,2717,404152,-111,-11.5,17:52:16.982000,2023-05-28
42,2023-05-28 17:59:37.241000+00:00,mainly_whole_slug,0,4.066,irt-mudd-rooftop-gateway,2721,404159,-105,-11.2,17:59:37.241000,2023-05-28
43,2023-05-28 18:00:47.247000+00:00,mainly_whole_slug,0,4.066,irt-mudd-rooftop-gateway,2718,404160,-106,-9.2,18:00:47.247000,2023-05-28
44,2023-05-28 18:02:39.137000+00:00,mainly_whole_slug,0,4.066,irt-mudd-rooftop-gateway,2721,404162,-117,-10.2,18:02:39.137000,2023-05-28
45,2023-05-28 18:03:56.624000+00:00,mainly_whole_slug,0,4.066,irt-mudd-rooftop-gateway,2722,404163,-117,-12.2,18:03:56.624000,2023-05-28
