,time,batt_v,depth_filt_mm,dist_mm,f_cnt,gw_1_rssi_dbm,gw_1_snr_db,gw_2_rssi_dbm,gw_2_snr_db,gw_3_rssi_dbm,gw_3_snr_db,deployment_id,times,date
0,2023-05-27 15:48:21.086000+00:00,4.162,0,2809,33327,-111,-8.25,,,,,openly_driven_tarpon,15:48:21.086000,2023-05-27
1,2023-05-27 16:46:05.899000+00:00,4.156,0,2797,33382,-113,-5.5,,,,,openly_driven_tarpon,16:46:05.899000,2023-05-27
2,2023-05-27 16:54:29.339000+00:00,4.156,0,2809,33390,-108,-4.0,,,,,openly_driven_tarpon,16:54:29.339000,2023-05-27
3,2023-05-27 16:56:43.107000+00:00,4.156,0,2804,33393,-104,-5.75,,,,,openly_driven_tarpon,16:56:43.107000,2023-05-27
4,2023-05-27 17:02:05.030000+00:00,4.156,0,2805,33399,-113,-5.5,,,,,openly_driven_tarpon,17:02:05.030000,2023-05-27
5,2023-05-27 17:04:11.286000+00:00,4.156,0,2802,33401,-109,-6.25,,,,,openly_driven_tarpon,17:04:11.286000,2023-05-27
6,2023-05-27 17:18:52.675000+00:00,4.156,0,2810,33415,-110,-7.75,,,,,openly_driven_tarpon,17:18:52.675000,2023-05-27
7,2023-05-27 17:24:08.078000+00:00,4.156,0,2803,33420,-111,-6.0,,,,,openly_driven_tarpon,17:24:08.078000,2023-05-27
8,2023-05-27 17:59:54.393000+00:00,4.154,0,2818,33455,-113,-5.5,,,,,openly_driven_tarpon,17:59:54.393000,2023-05-27
9,2023-05-27 18:01:04.954000+00:00,4.154,0,2818,33457,-113,-5.0,,,,,openly_driven_tarpon,18:01:04.954000,2023-05-27
10,2023-05-27 18:12:45.867000+00:00,4.152,0,2816,33469,-114,-5.25,,,,,openly_driven_tarpon,18:12:45.867000,2023-05-27
11,2023-05-27 18:14:59.687000+00:00,4.152,0,2816,33472,-114,-3.5,,,,,openly_driven_tarpon,18:14:59.687000,2023-05-27
12,2023-05-27 18:16:02.350000+00:00,4.152,0,2808,33473,-111,-4.25,,,,,openly_driven_tarpon,18:16:02.350000,2023-05-27
13,2023-05-27 18:20:14.102000+00:00,4.152,0,2812,33477,-109,-2.0,,,,,openly_driven_tarpon,18:20:14.102000,2023-05-27
14,2023-05-27 18:24:25.205000+00:00,4.152,0,2805,33481,-113,-4.0,,,,,openly_driven_tarpon,18:24:25.205000,2023-05-27
15,2023-05-27 18:27:33.872000+00:00,4.152,0,2810,33484,-109,-7.8,-110.0,-3.25,,,openly_driven_tarpon,18:27:33.872000,2023-05-27
16,2023-05-27 18:30:50.927000+00:00,4.152,0,2809,33488,-112,-4.0,,,,,openly_driven_tarpon,18:30:50.927000,2023-05-27
17,2023-05-27 18:30:58.729000+00:00,4.152,0,2809,33489,-108,-1.75,,,,,openly_driven_tarpon,18:30:58.729000,2023-05-27
18,2023-05-27 18:34:08.095000+00:00,4.152,0,2804,33492,-113,-4.0,,,,,openly_driven_tarpon,18:34:08.095000,2023-05-27
19,2023-05-27 18:41:27.315000+00:00,4.15,0,2802,33499,-111,-2.25,,,,,openly_driven_tarpon,18:41:27.315000,2023-05-27
20,2023-05-27 18:50:53.956000+00:00,4.15,0,2811,33508,-115,-7.75,,,,,openly_driven_tarpon,18:50:53.956000,2023-05-27
21,2023-05-27 18:54:02.979000+00:00,4.15,0,2807,33511,-109,-3.75,,,,,openly_driven_tarpon,18:54:02.979000,2023-05-27
22,2023-05-27 18:58:15.093000+00:00,4.15,0,2802,33515,-109,-2.25,,,,,openly_driven_tarpon,18:58:15.093000,2023-05-27
23,2023-05-27 19:12:55.042000+00:00,4.15,0,2788,33529,-110,-2.75,,,,,openly_driven_tarpon,19:12:55.042000,2023-05-27
24,2023-05-27 19:15:00.814000+00:00,4.15,0,2804,33531,-110,-3.0,,,,,openly_driven_tarpon,19:15:00.814000,2023-05-27
25,2023-05-27 19:19:11.720000+00:00,4.15,0,2815,33535,-114,-6.5,,,,,openly_driven_tarpon,19:19:11.720000,2023-05-27
26,2023-05-27 19:25:29.816000+00:00,4.148,0,2808,33541,-113,-4.75,,,,,openly_driven_tarpon,19:25:29.816000,2023-05-27
27,2023-05-27 19:29:42.483000+00:00,4.15,0,2807,33545,-111,-8.5,,,,,openly_driven_tarpon,19:29:42.483000,2023-05-27
28,2023-05-27 19:30:45.656000+00:00,4.15,0,2811,33546,-113,-6.25,,,,,openly_driven_tarpon,19:30:45.656000,2023-05-27
29,2023-05-27 19:32:51.400000+00:00,4.148,0,2813,33548,-113,-5.0,,,,,openly_driven_tarpon,19:32:51.400000,2023-05-27
30,2023-05-27 19:34:58.184000+00:00,4.15,0,2805,33550,-113,-7.5,,,,,openly_driven_tarpon,19:34:58.184000,2023-05-27
