,time,deployment_id,error_flag,batt_v,gw_1_id,dist_mm,f_cnt,gw_1_rssi_dbm,gw_1_snr_db,times,date
0,2023-05-28 14:56:57.387000+00:00,small_red_chicken,0,4.106,fngw-10000,2505,13171.0,-103,-2.75,14:56:57.387000,2023-05-28
1,2023-05-28 14:59:03.404000+00:00,small_red_chicken,0,4.106,fngw-10000,2501,13173.0,-105,0.75,14:59:03.404000,2023-05-28
2,2023-05-28 15:01:10.040000+00:00,small_red_chicken,0,4.106,fngw-10000,2505,13175.0,-107,-0.5,15:01:10.040000,2023-05-28
3,2023-05-28 15:03:16.081000+00:00,small_red_chicken,0,4.106,fngw-10000,2506,13177.0,-104,-7.5,15:03:16.081000,2023-05-28
4,2023-05-28 15:08:32.199000+00:00,small_red_chicken,0,4.106,fngw-10000,2499,13182.0,-87,0.25,15:08:32.199000,2023-05-28
5,2023-05-28 15:10:37.932000+00:00,small_red_chicken,0,4.106,fngw-10000,2507,13184.0,-105,-4.5,15:10:37.932000,2023-05-28
6,2023-05-28 15:12:43.880000+00:00,small_red_chicken,0,4.106,fngw-10000,2506,13186.0,-108,-0.25,15:12:43.880000,2023-05-28
7,2023-05-28 15:14:50.318000+00:00,small_red_chicken,0,4.106,fngw-10000,2506,13188.0,-109,-2.0,15:14:50.318000,2023-05-28
8,2023-05-28 15:15:53.040000+00:00,small_red_chicken,0,4.104,fngw-10000,2505,13189.0,-109,-1.5,15:15:53.040000,2023-05-28
9,2023-05-28 15:21:08.125000+00:00,small_red_chicken,0,4.104,fngw-10000,2503,13194.0,-109,-1.75,15:21:08.125000,2023-05-28
10,2023-05-28 15:27:26.326000+00:00,small_red_chicken,0,4.104,fngw-10000,2502,13200.0,-105,0.25,15:27:26.326000,2023-05-28
11,2023-05-28 15:28:29.127000+00:00,small_red_chicken,0,4.104,fngw-10000,2501,13201.0,-108,-0.25,15:28:29.127000,2023-05-28
12,2023-05-28 15:30:35.380000+00:00,small_red_chicken,0,4.104,fngw-10000,2504,13203.0,-104,-4.0,15:30:35.380000,2023-05-28
13,2023-05-28 15:32:41.734000+00:00,small_red_chicken,0,4.104,fngw-10000,2503,13205.0,-108,-1.25,15:32:41.734000,2023-05-28
14,2023-05-28 15:34:48.305000+00:00,small_red_chicken,0,4.104,fngw-10000,2502,13207.0,-111,-7.5,15:34:48.305000,2023-05-28
