,time,deployment_id,error_flag,batt_v,gw_1_id,dist_mm,f_cnt,gw_1_rssi_dbm,gw_1_snr_db,times,date
0,2023-05-28 15:03:02.214000+00:00,weekly_poetic_guinea,0,4.114,kona-mega,2897,398390,-111,-5.5,15:03:02.214000,2023-05-28
1,2023-05-28 15:06:11.600000+00:00,weekly_poetic_guinea,0,4.114,kona-mega,2900,398393,-109,-7.2,15:06:11.600000,2023-05-28
2,2023-05-28 15:11:34.263000+00:00,weekly_poetic_guinea,0,4.112,kona-mega,2897,398399,-109,-5.0,15:11:34.263000,2023-05-28
3,2023-05-28 15:28:21.376000+00:00,weekly_poetic_guinea,0,4.112,kona-mega,2896,398415,-109,-4.0,15:28:21.376000,2023-05-28
4,2023-05-28 15:33:44.831000+00:00,weekly_poetic_guinea,0,4.112,kona-mega,2902,398421,-109,-6.0,15:33:44.831000,2023-05-28
5,2023-05-28 15:42:15.634000+00:00,weekly_poetic_guinea,0,4.11,kona-mega,2905,398430,-111,-4.0,15:42:15.634000,2023-05-28
6,2023-05-28 15:44:21.691000+00:00,weekly_poetic_guinea,0,4.11,kona-mega,2901,398432,-109,-2.0,15:44:21.691000,2023-05-28
7,2023-05-28 15:44:29.476000+00:00,weekly_poetic_guinea,0,4.11,kona-mega,2899,398433,-105,-4.8,15:44:29.476000,2023-05-28
8,2023-05-28 16:02:18.881000+00:00,weekly_poetic_guinea,0,4.11,kona-mega,2895,398450,-107,-1.2,16:02:18.881000,2023-05-28
9,2023-05-28 16:04:24.737000+00:00,weekly_poetic_guinea,0,4.11,kona-mega,2900,398452,-111,-6.0,16:04:24.737000,2023-05-28
10,2023-05-28 16:09:38.037000+00:00,weekly_poetic_guinea,0,4.11,kona-mega,2900,398457,-105,-5.5,16:09:38.037000,2023-05-28
11,2023-05-28 16:32:44.503000+00:00,weekly_poetic_guinea,0,4.108,kona-mega,2904,398479,-107,-3.0,16:32:44.503000,2023-05-28
12,2023-05-28 16:34:49.842000+00:00,weekly_poetic_guinea,0,4.108,kona-mega,2901,398481,-111,-7.0,16:34:49.842000,2023-05-28
13,2023-05-28 16:39:01.123000+00:00,weekly_poetic_guinea,0,4.108,kona-mega,2900,398485,-105,-6.5,16:39:01.123000,2023-05-28
14,2023-05-28 16:47:24.944000+00:00,weekly_poetic_guinea,0,4.108,kona-mega,2903,398493,-109,-5.5,16:47:24.944000,2023-05-28
15,2023-05-28 16:53:41.870000+00:00,weekly_poetic_guinea,0,4.108,kona-mega,2899,398499,-109,-4.0,16:53:41.870000,2023-05-28
16,2023-05-28 17:08:23.287000+00:00,weekly_poetic_guinea,0,4.106,kona-mega,2893,398513,-105,-6.0,17:08:23.287000,2023-05-28
17,2023-05-28 17:32:32.756000+00:00,weekly_poetic_guinea,0,4.106,kona-mega,2899,398536,-107,-5.8,17:32:32.756000,2023-05-28
18,2023-05-28 17:34:39.167000+00:00,weekly_poetic_guinea,0,4.104,kona-mega,2898,398538,-109,-4.5,17:34:39.167000,2023-05-28
19,2023-05-28 17:37:48.455000+00:00,weekly_poetic_guinea,0,4.104,kona-mega,2899,398541,-109,-6.8,17:37:48.455000,2023-05-28
20,2023-05-28 17:52:29.842000+00:00,weekly_poetic_guinea,0,4.104,kona-mega,2901,398555,-102,0.2,17:52:29.842000,2023-05-28
21,2023-05-28 18:13:30.087000+00:00,weekly_poetic_guinea,0,4.104,kona-mega,2891,398575,-107,-4.8,18:13:30.087000,2023-05-28
22,2023-05-28 18:27:09.950000+00:00,weekly_poetic_guinea,0,4.102,kona-mega,2897,398588,-109,0.2,18:27:09.950000,2023-05-28
