,time,deployment_id,error_flag,batt_v,gw_1_id,dist_mm,f_cnt,gw_1_rssi_dbm,gw_1_snr_db,times,date
0,2023-06-05 17:03:28.182000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,249,-110,-3.5,17:03:28.182000,2023-06-05
1,2023-06-05 17:03:38.794000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,250,-104,-7.25,17:03:38.794000,2023-06-05
2,2023-06-05 17:03:44.162000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,251,-105,-4.5,17:03:44.162000,2023-06-05
3,2023-06-05 17:08:19.348000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,277,-107,-4.5,17:08:19.348000,2023-06-05
4,2023-06-05 17:17:49.644000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,331,-110,-4.75,17:17:49.644000,2023-06-05
5,2023-06-05 17:19:55.306000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,343,-107,-5.5,17:19:55.306000,2023-06-05
6,2023-06-05 17:23:25.918000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,363,-104,-6.5,17:23:25.918000,2023-06-05
7,2023-06-05 17:28:49.280000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,394,-104,-3.75,17:28:49.280000,2023-06-05
8,2023-06-05 17:35:00.464000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,429,-107,-2.25,17:35:00.464000,2023-06-05
9,2023-06-05 17:38:51.817000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,451,-104,-7.0,17:38:51.817000,2023-06-05
10,2023-06-05 17:39:18.180000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,454,-103,-6.75,17:39:18.180000,2023-06-05
11,2023-06-05 17:46:50.362000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,497,-111,-5.0,17:46:50.362000,2023-06-05
12,2023-06-05 17:53:03.414000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,533,-108,-6.75,17:53:03.414000,2023-06-05
13,2023-06-05 18:16:28.062000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,667,-109,-6.75,18:16:28.062000,2023-06-05
14,2023-06-05 18:24:29.111000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,713,-105,-4.25,18:24:29.111000,2023-06-05
15,2023-06-05 18:28:26.743000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,736,-104,-4.0,18:28:26.743000,2023-06-05
16,2023-06-05 18:32:24.657000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,759,-104,-6.75,18:32:24.657000,2023-06-05
17,2023-06-05 18:34:55.061000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,774,-105,-6.75,18:34:55.061000,2023-06-05
18,2023-06-05 18:35:52.316000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,780,-105,-7.0,18:35:52.316000,2023-06-05
19,2023-06-05 18:44:08.220000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,827,-104,-4.25,18:44:08.220000,2023-06-05
20,2023-06-05 18:53:17.385000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,880,-104,-3.25,18:53:17.385000,2023-06-05
21,2023-06-05 19:01:55.446000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,930,-102,-5.25,19:01:55.446000,2023-06-05
22,2023-06-05 19:03:57.776000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,942,-110,-6.0,19:03:57.776000,2023-06-05
23,2023-06-05 19:04:24.347000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,945,-101,-2.75,19:04:24.347000,2023-06-05
24,2023-06-05 19:06:15.557000+00:00,widely_whole_tarpon,,,floodnet-ltap-gw-553232201d003500,,956,-101,-6.25,19:06:15.557000,2023-06-05
