,time,batt_v,depth_filt_mm,dist_mm,f_cnt,gw_1_rssi_dbm,gw_1_snr_db,gw_2_rssi_dbm,gw_2_snr_db,gw_3_rssi_dbm,gw_3_snr_db,deployment_id,times,date
0,2023-06-07 20:17:58+00:00,,,,,-78,8.75,,,,,easily_dear_mouse,20:17:58,2023-06-07
1,2023-06-07 20:18:03.360000+00:00,,,,1.0,-79,9.5,,,,,easily_dear_mouse,20:18:03.360000,2023-06-07
2,2023-06-07 20:18:14.086000+00:00,,,,2.0,-78,7.75,,,,,easily_dear_mouse,20:18:14.086000,2023-06-07
3,2023-06-07 20:18:24.907000+00:00,,,,3.0,-81,7.75,,,,,easily_dear_mouse,20:18:24.907000,2023-06-07
4,2023-06-07 20:18:35.139000+00:00,,,,4.0,-85,10.0,,,,,easily_dear_mouse,20:18:35.139000,2023-06-07
5,2023-06-07 20:18:45.639000+00:00,,,,5.0,-79,8.25,,,,,easily_dear_mouse,20:18:45.639000,2023-06-07
6,2023-06-07 20:18:56.320000+00:00,,,,6.0,-91,7.0,,,,,easily_dear_mouse,20:18:56.320000,2023-06-07
7,2023-06-07 20:19:06.994000+00:00,,,,7.0,-79,2.0,,,,,easily_dear_mouse,20:19:06.994000,2023-06-07
8,2023-06-08 16:49:27.739000+00:00,4.108,0.0,3835.0,,-96,2.8,,,,,easily_dear_mouse,16:49:27.739000,2023-06-08
9,2023-06-08 16:53:32.010000+00:00,4.108,0.0,3001.0,,-80,8.8,,,,,easily_dear_mouse,16:53:32.010000,2023-06-08
10,2023-06-08 16:54:34.545000+00:00,4.108,0.0,1732.0,1.0,-73,9.2,,,,,easily_dear_mouse,16:54:34.545000,2023-06-08
11,2023-06-08 16:55:37.759000+00:00,4.108,0.0,1733.0,2.0,-74,10.2,,,,,easily_dear_mouse,16:55:37.759000,2023-06-08
12,2023-06-08 16:56:40.615000+00:00,4.108,0.0,1733.0,3.0,-68,10.0,,,,,easily_dear_mouse,16:56:40.615000,2023-06-08
13,2023-06-08 16:57:44.788000+00:00,4.108,0.0,1732.0,4.0,-71,9.8,,,,,easily_dear_mouse,16:57:44.788000,2023-06-08
14,2023-06-08 16:58:46.640000+00:00,4.108,0.0,1733.0,5.0,-70,9.0,,,,,easily_dear_mouse,16:58:46.640000,2023-06-08
15,2023-06-08 17:00:52.550000+00:00,4.106,0.0,1733.0,7.0,-72,8.2,,,,,easily_dear_mouse,17:00:52.550000,2023-06-08
